ANKIT SETHI,/gp/profile/amzn1.account.AHXAIDBE3E74OMGAMYUP672DWFFA,Not-Genuine Product,/gp/customer-reviews/R1I6P8MHTGJ9W9?ASIN=B01LZKSVRB,"I bought this Phone last year December, few days back I faced some issue like some noise when i click home button and also some feature issue, as phone was in warranty so I visited B2X (Authorised Apple Support center)."
Amazon Customer,/gp/profile/amzn1.account.AHGQLZMVSJTKW7MTB466US4GZWUA,Over all good phone except it’s battery life,/gp/customer-reviews/R3BAW0PMOITZZ9?ASIN=B01LZKSVRB,Over all phone is very good except it’s  battery. If you are a full time internet user don’t buy this phone. Battery life maximum 8 hours if you using full time internet.
Sadiq Brown,/gp/profile/amzn1.account.AFKOZ3NASQHQVY5SULDIXY3UY3OQ,Battery Draining Problem. I want to replace this product.,/gp/customer-reviews/R39C5N2V3A1LWN?ASIN=B01LZKSVRB,"Poor product, I want to replace this product , Battery back up is not at all good, decreasing every 2-3min, I recently had iphone 6s and it wasn't the same. On stand by it decresed 20% last night"
Amazon Customer,/gp/profile/amzn1.account.AFXFF54M2WIIEEHXYTLNJKT3TG7Q,Heating Issues,/gp/customer-reviews/RHOXRZ8JL271B?ASIN=B01LZKSVRB,I have been using it since the last 2 days and have noticed some heating issues .. We have 2 other iPhone 7’s but none of them heat up like this one .. Usually heats up when I’m on an application or charging . Will definitely return the product .Really disappointed
kundan kumar,/gp/profile/amzn1.account.AFH5ECOT5RT3B37P77RM3FIR23TQ,Best value for money,/gp/customer-reviews/R2TNUPPURIAOME?ASIN=B01LZKSVRB,Obviously this product from descendants of Mr Steve Jobs is pure value for money. I would always recommend to go for this unless you are planning to go for an Android device. And yess !! Be ready to spend some more on other connectivity accessories and its truly said “With great power comes great responsibility”
Jetstream,/gp/profile/amzn1.account.AFDATGOTPTVVPCZMZFGMHO7CTCUQ,Excellent value for money,/gp/customer-reviews/RTHUCQPF422TG?ASIN=B01LZKSVRB,"At the reduced price points during the sale with cashback and instant discounts on offer, this phone is a no brainer to go for. Considering Apple's rather silly pricing of the 8/8+/X/XS/XR the iPhone 7 is still a very capable phone. Best part is the new home button (no more hardware failures) and with the latest versions of iOS it still remains fast and responsive."
Ganesh Devadiga,/gp/profile/amzn1.account.AECORHVGVLGD6WDUBQCRQOIZIRQQ,Compact and elegant. Decent battery life. Need a ...,/gp/customer-reviews/R1RLIWRV1N9JYS?ASIN=B01LZKSVRB,Compact and elegant.
Aanubrata,/gp/profile/amzn1.account.AHZESAA255R3S3JNXC6XOTKRXMMQ,Best iphone amougst all the other versions,/gp/customer-reviews/RNILEWSZNK3DI?ASIN=B01LZKSVRB,I will jot down some features for this phone:
Arjun Prabhu,/gp/profile/amzn1.account.AHRQVBRD5QXHNBKJ3643WRZ2MNBQ,Superb fast and classy phone with a great camera,/gp/customer-reviews/R2D5V81HB4JH13?ASIN=B01LZKSVRB,I ordered the 32 GB iPhone 7 via Amazon. The phone arrived on time and well packed. The phone was absolutely new and the manufacturing date was as recent asOctober 2018 itself.  The phone is definitely an excellent upgrade over the iPhone 6 and 6s. It comes pre loaded with iOS 12.0.1 and is extremely fast and zippy. The built of the phone is superb and it feels extremely premium. The camera is amazing and the sound quality is loud with a clear output. Overall an excellent phone.
Aniket.,/gp/profile/amzn1.account.AF6TRNZBOIIHVDNJBOBHF5S7KJLA,iPhone 7 is great. Even in 2018.,/gp/customer-reviews/R13HFSTK4CCEX3?ASIN=B01LZKSVRB,"iPhone is a great device, because of the tight integration of hardware and software. This is my second iPhone and I have purchased it on 2018 (2 yrs after release) because I think 40,000 is max I am willing to spend on this device."
